=== TRAIN SPLIT ===
Number of subject folders: 710

s0622: t1=40, t2=40, total=80
s0655: t1=44, t2=44, total=88
s0212: t1=40, t2=40, total=80
s0386: t1=42, t2=42, total=84
s0265: t1=40, t2=40, total=80
s0368: t1=31, t2=31, total=62
s0218: t1=40, t2=40, total=80
s0362: t1=43, t2=43, total=86
s0281: t1=34, t2=34, total=68
s0315: t1=44, t2=44, total=88
s0628: t1=44, t2=44, total=88
s0016: t1=36, t2=36, total=72
s0182: t1=35, t2=35, total=70
s0061: t1=40, t2=40, total=80
s0426: t1=39, t2=39, total=78
s0451: t1=37, t2=37, total=74
s0556: t1=33, t2=33, total=66
s0521: t1=40, t2=40, total=80
s0166: t1=32, t2=32, total=64
s0085: t1=37, t2=37, total=74
s0111: t1=40, t2=40, total=80
s0188: t1=37, t2=37, total=74
s0257: t1=39, t2=39, total=78
s0220: t1=38, t2=38, total=76
s0667: t1=41, t2=41, total=82
s0610: t1=40, t2=40, total=80
s0689: t1=43, t2=43, total=86
s0683: t1=35, t2=35, total=70
s0327: t1=25, t2=25, total=50
s0350: t1=36, t2=36, total=72
s0519: t1=33, t2=33, total=66
s0463: t1=46, t2=46, total=92
s0414: t1=33, t2=33, total=66
s0580: t1=39, t2=39, total=78
s0129: t1=40, t2=40, total=80
s0053: t1=38, t2=38, total=76
s0024: t1=40, t2=40, total=80
s0123: t1=40, t2=40, total=80
s0154: t1=32, t2=32, total=64
s0059: t1=55, t2=55, total=110
s0487: t1=38, t2=38, total=76
s0513: t1=46, t2=46, total=92
s0564: t1=35, t2=35, total=70
s0469: t1=47, t2=47, total=94
s0371: t1=36, t2=36, total=72
s0292: t1=34, t2=34, total=68
s0306: t1=39, t2=39, total=78
s0298: t1=38, t2=38, total=76
s0201: t1=28, t2=28, total=56
s0395: t1=38, t2=38, total=76
s0276: t1=36, t2=36, total=72
s0631: t1=38, t2=38, total=76
s0646: t1=34, t2=34, total=68
s0078: t1=50, t2=50, total=100
s0175: t1=29, t2=29, total=58
s0096: t1=45, t2=45, total=90
s0102: t1=29, t2=29, total=58
s0448: t1=37, t2=37, total=74
s0545: t1=42, t2=42, total=84
s0532: t1=35, t2=35, total=70
s0435: t1=33, t2=33, total=66
s0442: t1=39, t2=39, total=78
s0538: t1=43, t2=43, total=86
s0005: t1=38, t2=38, total=76
s0191: t1=40, t2=40, total=80
s0072: t1=50, t2=50, total=100
s0108: t1=40, t2=40, total=80
s0334: t1=36, t2=36, total=72
s0343: t1=41, t2=41, total=82
s0239: t1=40, t2=40, total=80
s0690: t1=46, t2=46, total=92
s0704: t1=45, t2=45, total=90
s0609: t1=38, t2=38, total=76
s0674: t1=37, t2=37, total=74
s0603: t1=35, t2=35, total=70
s0349: t1=39, t2=39, total=78
s0244: t1=38, t2=38, total=76
s0233: t1=38, t2=38, total=76
s0599: t1=42, t2=42, total=84
s0494: t1=39, t2=39, total=78
s0500: t1=45, t2=45, total=90
s0577: t1=28, t2=28, total=56
s0130: t1=40, t2=40, total=80
s0147: t1=46, t2=46, total=92
s0040: t1=50, t2=50, total=100
s0037: t1=40, t2=40, total=80
s0470: t1=38, t2=38, total=76
s0407: t1=32, t2=32, total=64
s0593: t1=31, t2=31, total=62
s0570: t1=39, t2=39, total=78
s0507: t1=40, t2=40, total=80
s0493: t1=31, t2=31, total=62
s0140: t1=42, t2=42, total=84
s0137: t1=40, t2=40, total=80
s0030: t1=33, t2=33, total=66
s0047: t1=40, t2=40, total=80
s0499: t1=37, t2=37, total=74
s0594: t1=40, t2=40, total=80
s0400: t1=44, t2=44, total=88
s0477: t1=40, t2=40, total=80
s0249: t1=58, t2=58, total=116
s0344: t1=29, t2=29, total=58
s0333: t1=34, t2=34, total=68
s0679: t1=42, t2=42, total=84
s0703: t1=43, t2=43, total=86
s0697: t1=35, t2=35, total=70
s0604: t1=36, t2=36, total=72
s0673: t1=38, t2=38, total=76
s0709: t1=38, t2=38, total=76
s0234: t1=39, t2=39, total=78
s0243: t1=50, t2=50, total=100
s0339: t1=42, t2=42, total=84
s0105: t1=54, t2=54, total=108
s0091: t1=40, t2=40, total=80
s0172: t1=48, t2=48, total=96
s0008: t1=40, t2=40, total=80
s0535: t1=42, t2=42, total=84
s0542: t1=43, t2=43, total=86
s0438: t1=38, t2=38, total=76
s0548: t1=41, t2=41, total=82
s0445: t1=43, t2=43, total=86
s0432: t1=41, t2=41, total=82
s0178: t1=25, t2=25, total=50
s0075: t1=40, t2=40, total=80
s0196: t1=45, t2=45, total=90
s0002: t1=40, t2=40, total=80
s0398: t1=36, t2=36, total=72
s0301: t1=40, t2=40, total=80
s0295: t1=41, t2=41, total=82
s0376: t1=34, t2=34, total=68
s0271: t1=38, t2=38, total=76
s0392: t1=43, t2=43, total=86
s0206: t1=40, t2=40, total=80
s0641: t1=44, t2=44, total=88
s0636: t1=53, t2=53, total=106
s0587: t1=42, t2=42, total=84
s0413: t1=40, t2=40, total=80
s0464: t1=35, t2=35, total=70
s0569: t1=38, t2=38, total=76
s0023: t1=40, t2=40, total=80
s0054: t1=54, t2=54, total=108
s0159: t1=40, t2=40, total=80
s0029: t1=35, t2=35, total=70
s0153: t1=42, t2=42, total=84
s0124: t1=33, t2=33, total=66
s0419: t1=39, t2=39, total=78
s0563: t1=35, t2=35, total=70
s0514: t1=33, t2=33, total=66
s0480: t1=40, t2=40, total=80
s0227: t1=40, t2=40, total=80
s0250: t1=38, t2=38, total=76
s0617: t1=34, t2=34, total=68
s0660: t1=34, t2=34, total=68
s0710: t1=27, t2=27, total=54
s0684: t1=36, t2=36, total=72
s0357: t1=41, t2=41, total=82
s0320: t1=38, t2=38, total=76
s0066: t1=40, t2=40, total=80
s0185: t1=37, t2=37, total=74
s0011: t1=50, t2=50, total=100
s0088: t1=48, t2=48, total=96
s0456: t1=25, t2=25, total=50
s0421: t1=40, t2=40, total=80
s0526: t1=40, t2=40, total=80
s0551: t1=45, t2=45, total=90
s0116: t1=40, t2=40, total=80
s0082: t1=30, t2=30, total=60
s0161: t1=39, t2=39, total=78
s0652: t1=32, t2=32, total=64
s0625: t1=37, t2=37, total=74
s0318: t1=44, t2=44, total=88
s0262: t1=42, t2=42, total=84
s0381: t1=43, t2=43, total=86
s0215: t1=50, t2=50, total=100
s0312: t1=43, t2=43, total=86
s0286: t1=40, t2=40, total=80
s0365: t1=41, t2=41, total=82
s0268: t1=20, t2=20, total=40
s0658: t1=42, t2=42, total=84
s0086: t1=41, t2=41, total=82
s0112: t1=40, t2=40, total=80
s0165: t1=44, t2=44, total=88
s0068: t1=40, t2=40, total=80
s0522: t1=30, t2=30, total=60
s0555: t1=44, t2=44, total=88
s0458: t1=28, t2=28, total=56
s0528: t1=40, t2=40, total=80
s0452: t1=36, t2=36, total=72
s0425: t1=44, t2=44, total=88
s0118: t1=33, t2=33, total=66
s0062: t1=38, t2=38, total=76
s0015: t1=40, t2=40, total=80
s0181: t1=44, t2=44, total=88
s0282: t1=35, t2=35, total=70
s0316: t1=36, t2=36, total=72
s0361: t1=37, t2=37, total=74
s0266: t1=40, t2=40, total=80
s0211: t1=26, t2=26, total=52
s0385: t1=35, t2=35, total=70
s0288: t1=40, t2=40, total=80
s0656: t1=46, t2=46, total=92
s0621: t1=43, t2=43, total=86
s0567: t1=37, t2=37, total=74
s0484: t1=20, t2=20, total=40
s0510: t1=36, t2=36, total=72
s0589: t1=42, t2=42, total=84
s0157: t1=37, t2=37, total=74
s0120: t1=40, t2=40, total=80
s0027: t1=40, t2=40, total=80
s0050: t1=50, t2=50, total=100
s0417: t1=43, t2=43, total=86
s0583: t1=29, t2=29, total=58
s0460: t1=42, t2=42, total=84
s0229: t1=42, t2=42, total=84
s0353: t1=42, t2=42, total=84
s0324: t1=22, t2=22, total=44
s0619: t1=41, t2=41, total=82
s0680: t1=37, t2=37, total=74
s0613: t1=39, t2=39, total=78
s0664: t1=42, t2=42, total=84
